MIN;AVG;MAX
9;64;74
39;66;79
17;66;75
32;65;76
41;62;67
45;63;68
41;58;68
28;55;64
43;58;67
45;59;68
29;56;69
39;58;69
40;60;69
42;62;69
42;63;69
4;57;69
22;51;63
24;57;64
39;61;65
19;52;65
27;56;64
29;56;64
30;55;64
24;50;61
23;54;63
26;50;63
31;56;66
34;55;64
18;55;64
24;56;65
25;58;65
44;61;65
26;60;66
28;50;65
29;58;65
29;59;65
29;56;65
24;56;65
26;56;65
27;53;64
39;52;60
39;55;64
24;54;62
17;55;65
24;54;65
26;57;64
37;59;65
13;60;69
47;65;73
41;62;74
17;61;74
47;63;72
48;67;74
48;65;73
44;60;66
44;60;69
37;63;79
44;69;75
52;71;83
43;68;82
37;65;73
41;65;71
52;65;71
43;64;75
43;68;75
18;51;73
30;51;58
33;47;54
